Account Name,Domain,Industry Category,Score,Funding Stage/Recent Funding,Reason for Inclusion,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
George Mason University,gmu.edu,Higher Education - Regional University,9,Established (40K+ students),"Fast-growing regional university in DC area with expanding online MBA and graduate programs, strong business school","Online program expansion, need for affordable textbook access for growing online student population, accessibility requirements","Matches Perlego's University of Liverpool/Westcliff partnerships, regional university expanding digital offerings","40K+ students, growing online programs, DC area premium market"
Florida International University,fiu.edu,Higher Education - Regional University,9,Established (56K+ students),"Second-largest university in Florida with 56K students, strong business school, expanding online and executive education","Large student population needs affordable textbook access, Hispanic-serving institution with accessibility focus, online program growth","Perfect fit for Perlego's accessibility focus and cost reduction value prop, similar to existing partners","56K students, one of largest US universities, growing online offerings"
San Diego State University,sdsu.edu,Higher Education - Regional University,8,Established (36K+ students),"Major California state university with 36K students, business school with exec ed programs, expanding online offerings","California students face high textbook costs, diverse student population needs accessibility features, online program expansion","California market expansion opportunity, business school fit, student affordability focus aligns with Perlego mission","36K students, California premium market, business school with exec ed"
Rochester Institute of Technology,rit.edu,Higher Education - Technical University,8,Established (19K+ students),"Strong technical/business programs, known for co-op model, expanding online graduate programs, focus on accessibility (deaf students)","Known leader in accessibility (National Technical Institute for the Deaf), expanding online tech/business programs, co-op students need flexible access","Accessibility leadership perfect match for Perlego's features (Open Dyslexic, Beeline Reader), tech-forward institution, business programs","19K students, $1B+ endowment, accessibility innovation leader"
DePaul University,depaul.edu,Higher Education - Private University,8,Established (22K+ students),"Largest Catholic university in US, strong business school in Chicago, growing online and adult learner programs","Adult learner focus (working professionals), Chicago market, business school with exec ed, cost-conscious student population","Adult/professional learner focus matches Perlego's SMB training expansion, business school alignment, urban market","22K students, Chicago premium market, strong business/professional programs"
Fordham University,fordham.edu,Higher Education - Private University,8,Established (16K+ students),"NYC-based Jesuit university with strong business school (Gabelli), expanding online MBA and exec ed programs","NYC premium market, business school expansion, working professional focus, expensive textbook market","NYC location, business school fit, exec ed expansion aligns with Perlego's business school partnerships","16K students, NYC market, Gabelli Business School, exec ed growth"
Rutgers Business School,business.rutgers.edu,Higher Education - Business School,9,Public University (50K+ total),"Rutgers Business School expanding exec ed and online programs, New Jersey/NYC market, focus on professional development","Exec ed expansion mentioned in research, NYC metro market, professional development focus, need for affordable business content","Direct business school fit, exec ed expansion, matches Perlego's Hult/Luiss Business School partnerships","50K+ Rutgers students, exec ed program growth, NYC metro market"
Emory University Goizueta Business School,goizueta.emory.edu,Higher Education - Business School,8,Private University (14K+ total),"Top 20 business school expanding exec ed programs, Atlanta market, focus on leadership development","Exec ed expansion, premium business school content needs, Atlanta market growth, working professional programs","Business school exec ed fit, premium content needs match Perlego's publisher partnerships (9K+ publishers)","14K Emory students, top 20 business school, exec ed growth, $13B endowment"
Penn State Smeal College of Business,smeal.psu.edu,Higher Education - Business School,9,Public University (90K+ total),"Launching new working professional program Fall 2025 (from research), need for flexible learning resources","Specific trigger: Fall 2025 working professional program launch, need for flexible access to business content, large alumni base","Perfect timing trigger, working professional focus matches Perlego's flexibility value prop, large scale opportunity","90K Penn State students, new program launching Fall 2025, large alumni network"
University of Miami Herbert Business School,herbert.miami.edu,Higher Education - Business School,8,Private University (19K+ total),"Miami-based business school with growing exec ed and online programs, focus on Latin America connections","Exec ed programs, Miami market, international student focus (Latin America), need for diverse business content access","International focus matches Perlego's global expansion (9 countries), exec ed fit, Miami growth market","19K students, $1.2B+ endowment, exec ed programs, Latin America focus"
