domain,company_name,city,state,linkedin_company_url
powerdigitalmarketing.com,Power Digital,Arlington,VA,https://www.linkedin.com/company/powerdigitalmarketing/
wpromote.com,Wpromote,El Segundo,CA,https://www.linkedin.com/company/wpromote/
level.agency,Level Agency,Pittsburgh,PA,https://www.linkedin.com/company/level-agency/
interodigital.com,Intero Digital,Colorado Springs,CO,https://www.linkedin.com/company/interodigital/
strategicamerica.com,Strategic America,West Des Moines,IA,https://www.linkedin.com/company/strategic-america/
pinnacleadvertising.com,Pinnacle Advertising & Marketing Group,Schaumburg,IL,https://www.linkedin.com/company/pinnacle-advertising/
divisiond.com,Division-D,Columbia,MO,https://www.linkedin.com/company/division-d/
ignitedusa.com,Ignited,Manhattan Beach,CA,https://www.linkedin.com/company/ignited/
straightnorth.com,Straight North,Downers Grove,IL,https://www.linkedin.com/company/straight-north/
gofishdigital.com,Go Fish Digital,Raleigh,NC,https://www.linkedin.com/company/go-fish-digital/
oceanmediainc.com,Ocean Media,Huntington Beach,CA,https://www.linkedin.com/company/ocean-media/
topagency.com,TOP Agency,Atlanta,GA,https://www.linkedin.com/company/topworldwide/
markacy.com,Markacy,New York,NY,https://www.linkedin.com/company/markacy/
acadia.io,Acadia,Austin,TX,https://www.linkedin.com/company/acadiaio/
nationalpositions.com,National Positions,Westlake Village,CA,https://www.linkedin.com/company/national-positions/
matternow.com,Matter Communications,Boston,MA,https://www.linkedin.com/company/matter-communications/
mww.com,MikeWorldWide PR,New York,NY,https://www.linkedin.com/company/mww-group/
padillaco.com,Padilla,Minneapolis,MN,https://www.linkedin.com/company/padilla/
pancommunications.com,PAN Communications,New York,NY,https://www.linkedin.com/company/pan-communications/
inkhouse.com,Inkhouse,Boston,MA,https://www.linkedin.com/company/inkhouse-media---marketing/
bospar.com,Bospar,San Francisco,CA,https://www.linkedin.com/company/bospar/
rfbinder.com,RF|Binder,New York,NY,https://www.linkedin.com/company/rfbinder/
nextpr.com,Next PR,Brooklyn,NY,https://www.linkedin.com/company/next-pr-official-1/
fusionpr.com,Fusion Public Relations,New York,NY,https://www.linkedin.com/company/fusion-public-relations/
borshoff.biz,Borshoff,Indianapolis,IN,https://www.linkedin.com/company/borshoff/
identitypr.com,Identity PR,Birmingham,MI,https://www.linkedin.com/company/identitypr/
cerconebrown.com,CBC,Boston,MA,https://www.linkedin.com/company/cerconebrown/
