Account Name,Domain,Industry Category,Score,Why This Fits BroadRange,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
247Solar,247solar.com,Solar Energy,10,"Launched $25M Series B (Dec 2025) to scale production, $250M active pipeline on 6 continents, need warehousing for component distribution","Scaling energy-as-a-service model, mass production of 3.5 MW solutions by 2027, expanding to new markets - need flexible warehousing coast-to-coast","PERFECT fit for BroadRange's Solar focus (RE+ 2025 exhibitor), UltraFlex™ model ideal for scaling manufacturers","$25M Series B, $250M pipeline"
Sunnova,sunnova.com,Solar/EV,9,"Residential solar + storage provider expanding rapidly, need distribution for panels/batteries across US markets","Scaling residential solar installations nationwide, battery storage distribution, installer network logistics","Solar & EV priority, BroadRange has 7 of top 10 solar manufacturers, installer network needs regional warehouses","Public company, rapid expansion"
Wallbox,wallbox.com,EV Charging,9,"EV charger manufacturer (went public 2021), distributing hardware to installers and retailers nationwide","Hardware distribution to installers, retail partners (Home Depot, Lowe's), scaling US production","EV infrastructure priority for BroadRange, bulky equipment needing specialized warehousing","Public company, retail expansion"
Sunfolding,sunfolding.com,Solar Components,8,"Solar tracker manufacturer (raised $7M Series B), scaling production of mechanical components for utility solar","Manufacturing solar tracking systems, need component warehousing and distribution to utility projects","BroadRange manages 6M+ sq ft of solar components, tracker systems need specialized handling","$7M Series B, utility-scale projects"
Moment Energy,momentenergy.com,EV Battery Storage,8,"Second-life EV battery company, repurposing EV batteries for energy storage - need reverse logistics + distribution","Collecting used EV batteries, warehousing for refurbishment, distributing storage systems","EV + sustainability focus, reverse logistics capability, warehousing for battery components","Series A funded, scaling operations"
Electriq Power,electriqpower.com,Solar Storage,7,"Home battery storage systems, competing with Tesla Powerwall, need fulfillment for residential installs","DTC + installer channel distribution, battery systems are heavy/bulky, need regional warehouses","Solar storage fits BroadRange's solar focus, bulky product requiring specialized handling","Venture-backed, residential solar boom"
Liquid Death,liquiddeath.com,Beverage - Canned Water,10,"$75M Series D ($1.4B valuation), $263M revenue, explosive DTC + retail growth, aluminum cans = heavy/bulky","Scaling from DTC to major retail (Whole Foods, 7-Eleven), canned water is heavy - distribution critical","PERFECT for BroadRange's NEW Food & Beverage priority (Cascadia partnership), fast-growing beverage brand","$1.4B valuation, $263M revenue"
Athletic Brewing,athleticbrewing.com,Non-Alcoholic Beer,10,"Revenue doubled from $200M (2024) to $400M (2025), fastest-growing craft beer brand, DTC subscriptions + retail","Non-alcoholic craft beer distributed nationwide, heavy glass bottles/cans, rapid retail expansion","Food & Beverage strategic priority, beverage distribution expertise, craft beverage growth","$400M revenue, doubling YoY"
Olipop,drinkolipop.com,Functional Beverage,9,"Prebiotic soda brand, explosive retail growth (Target, Walmart, Whole Foods), competing with Poppi","Functional beverage scaling to major retail, canned drinks = heavy distribution, inventory management critical","Beverage priority, fast-growing functional drink category, DTC + retail omnichannel","Venture-backed, rapid retail expansion"
Poppi,drinkpoppi.com,Functional Beverage,9,"Prebiotic soda competitor to Olipop, major retail presence, Shark Tank success, rapid scaling","Scaling production and distribution post-retail partnerships, inventory surges for major retailers","Food & Beverage focus, competing with Olipop for shelf space, distribution critical","Venture-backed, Shark Tank investment"
Hilltop Honey,hilltophoney.com,Food - Honey,8,"UK's 2nd largest honey producer, secured £8.7M funding from Santander for international expansion to US","Expanding to US market, need US warehousing and distribution, food compliance requirements","BroadRange's food & beverage partnership (Cascadia), international brand entering US needing 3PL","£8.7M funding, US expansion"
Boundless,eatboundless.com,Healthy Snacks,7,"£1.5M funding (2024), backed by Graze co-founder, 110% YoY sales growth, DTC + retail","Healthy snack brand scaling to retail, inventory management for seasonal demand, co-packing needs","Food & Beverage + Private Label capabilities (co-packing), fast-growing snack category","£1.5M funding, 110% sales growth"
