Number,Company,Website,Industry,Segment,Location,Why They Fit,Estimated Insurance Spend,Decision Maker Titles,Clay Lookup Keywords
1,Tao Group Hospitality,taogroup.com,Restaurant/Nightlife,Hospitality Groups,"New York (HQ), Nationwide","89 locations, 44 brands, TAO/Hakkasan/Marquee/LAVO, MSG ownership",Very High ($10M+),"CFO, Chief Risk Officer, General Counsel",restaurant nightlife Tao Group
2,Major Food Group,majorfood.com,Restaurant Group,Hospitality Groups,"New York (HQ), Nationwide","40+ restaurants, Carbone/The Grill/Torrisi, global expansion",Very High ($5M+),"CFO, General Counsel, VP Operations",restaurant Major Food Group Carbone
3,Lettuce Entertain You,lettuce.com,Restaurant Group,Hospitality Groups,"Illinois (HQ), Nationwide","130 locations, 60+ brands, RPM Italian/Wow Bao/Mon Ami Gabi",Very High ($10M+),"CFO, Chief Risk Officer, VP Risk",restaurant Lettuce Entertain You Chicago
4,Patina Restaurant Group,patinagroup.com,Restaurant/Catering,Hospitality Groups,"California (HQ), Nationwide","30+ brands, Disney partner, cultural venues coast to coast",Very High ($5M+),"CFO, VP Risk Management",restaurant catering Patina Group
5,Hillstone Restaurant Group,hillstone.com,Restaurant Group,Hospitality Groups,"Arizona (HQ), Nationwide","45+ restaurants, 11 brands, Houston's/R&D Kitchen/Bandera",Very High ($5M+),"CFO, VP Operations, General Counsel",restaurant Hillstone Houston's
6,Thompson Hospitality,thompsonhospitality.com,Restaurant/Food Service,Hospitality Groups,"Virginia (HQ), Nationwide","~$1B revenue, 67 locations, largest minority-owned food service",Very High ($5M+),"CFO, Chief Risk Officer",restaurant Thompson Hospitality
7,Dinex Group,dinexgroup.com,Restaurant Group,Hospitality Groups,"New York (HQ), Nationwide","Daniel Boulud restaurants, NYC/Miami/Boston/DC/Palm Beach",High ($2M+),"CFO, General Counsel",restaurant Dinex Daniel Boulud
8,NoHo Hospitality Group,nhgnyc.com,Restaurant Group,Hospitality Groups,"New York (HQ), Regional","Chef Andrew Carmellini, hotels and restaurant portfolio",High ($1M+),"CFO, VP Operations",restaurant NoHo Hospitality Carmellini
9,The Group Hospitality,thegroupus.com,Restaurant Group,Hospitality Groups,"New York (HQ), Regional","La Grande Boucherie, OLIO E PIU, Boucherie concepts",High ($1M+),"CFO, Director of Operations",restaurant The Group Hospitality NYC
10,Indigo Road Hospitality,indigoroad.com,Restaurant Group,Hospitality Groups,"South Carolina (HQ), Southeast","1500+ employees, award-winning, DC to Jacksonville",High ($2M+),"CFO, VP Risk Management",restaurant Indigo Road
