domain,company_name,vertical,why_ar_fits
sixpenny.com,Sixpenny,Furniture,DTC sofas and chairs - customers need to see fit in living room
maidenhome.com,Maiden Home,Furniture,Custom DTC furniture - high AOV items customers want to visualize before buying
interiordefine.com,Interior Define,Furniture,Custom sofas and sectionals - spatial visualization reduces returns
couch.com,Couch.com,Furniture,DTC couch brand - core product is large spatial item
fullmodern.com,FullModern,Furniture,Modern furniture e-commerce - needs AR to compete with showrooms
pragmabed.com,PragmaBed,Furniture,Bed frames sold online - customers need to see size/fit in bedroom
nuggetcomfort.com,Nugget Comfort,Furniture,Kids play furniture - parents want to see it in playroom/living room
framiture.com,Framiture,Furniture,Furniture manufacturer selling DTC - spatial visualization essential
boutiquerugs.com,Boutique Rugs,Rugs,Major DTC rug brand - perfect for AR rug visualization on floors
istanbulrug.com,Istanbul Rug,Rugs,US-based rug retailer - handmade rugs need visualization before purchase
goldenlooms.com,Golden Looms,Rugs,Handmade rug store - high-value items benefit from AR floor preview
icanvas.com,iCanvas,Wall Art,Large online canvas art retailer - wall art AR visualization is key differentiator
canvasondemand.com,Canvas On Demand,Wall Art,Custom canvas prints - customers need to see art on their wall at scale
canvaschamp.com,CanvasChamp,Wall Art,Canvas prints and wall decor - AR wall placement drives conversions
canvasworld.com,CanvasWorld,Wall Art,$31M+ revenue canvas print company - wall AR a natural fit
americansale.com,American Sale,Pool & Outdoor,Pool patio and outdoor furniture - large items need spatial visualization
watsons.com,Watson's,Pool & Outdoor,Home leisure superstore - hot tubs pools game tables all benefit from AR
ultramodern.com,Ultra Modern Pool & Patio,Pool & Outdoor,Pool and patio retailer - customers need to visualize in backyard
areaware.com,Areaware,Home Decor,Design-forward home goods and gifts - 3D product viewer adds premium feel
designartusa.com,Designart,Home Decor,5M+ SKU wall art and decor manufacturer - massive catalog needs AR/3D
homecentric.com,Home Centric,Home Decor,Home decor and furniture retailer (51-200 emp) - broad product range for AR
mytaoutdoorliving.com,Myta Outdoor Living,Outdoor Furniture,Outdoor living design and furniture - AR previews of patio setups
homeretreatstore.com,Home Retreat Store,Fitness & Outdoor,Online store for fitness equipment saunas gazebos - large items need AR
sparrowandsage.com,Sparrow & Sage,Furniture,Curated furniture collection - AR helps buyers commit to style/size
parachutehome.com,Parachute Home,Home Decor,DTC home goods brand - bedding furniture rugs benefit from room visualization
