Company Name,Industry,HQ Location,Approx Employees,Why Good Fit,Primary Use Case,Decision Maker Title,Buying Trigger
Hyatt Place/Hyatt House,Hospitality,Chicago IL,45000,500+ locations opening 30-40 new hotels annually,Field Services + IT Staffing,VP of IT Operations,New property openings
First Watch Restaurants,Hospitality,Bradenton FL,15000,530+ locations adding 50+ per year with POS needs,Field Services,Director of IT Infrastructure,New restaurant buildouts
Main Event Entertainment,Hospitality,Dallas TX,5000,50+ locations with complex AV/network needs,Field Services,VP of Technology,New venue openings
CAVA,Hospitality,Washington DC,6000,300+ locations post-IPO expansion mode,Field Services,CTO,New market entries
Life Time Fitness,Hospitality,Chanhassen MN,37000,165+ massive facilities with extensive IT,Field Services + Staffing,SVP of Technology,New club openings
Carbon Health,Healthcare,San Francisco CA,2500,130+ urgent care clinics tech-forward model,Field Services + IT Staffing,VP of IT Infrastructure,New clinic openings
ChenMed,Healthcare,Miami FL,5000,120+ senior-focused primary care centers,Field Services,Chief Information Officer,New market expansion
Village Medical,Healthcare,New York NY,8000,600+ locations Walgreens partnership,Field Services + IT Staffing,SVP of Technology & Operations,New clinic launches
Premise Health,Healthcare,Brentwood TN,6500,800+ workplace health centers at employer sites,Field Services + IT Staffing,VP of IT Services,New enterprise clients
Smile Brands,Healthcare,Irvine CA,7000,575+ dental practices constant acquisitions,Field Services + Relocation,CTO,Practice acquisitions
Grand Canyon University,Education,Phoenix AZ,13000,120K+ students massive IT needs,Field Services + IT Staffing,VP of IT Services,New building openings
K12 Inc,Education,Herndon VA,6000,180+ online/hybrid schools distributed IT,Field Services + IT Staffing,Chief Technology Officer,New school launches
Charter Schools USA,Education,Fort Lauderdale FL,5000,90+ charter schools across multiple states,Field Services,Director of Technology Services,New school openings
BASIS Schools,Education,Scottsdale AZ,2000,30+ schools expanding internationally,Field Services,VP of IT Infrastructure,New campus openings
Renton School District,Education,Renton WA,2500,28 schools 16K students constant upgrades,Field Services,Chief Information Officer,School modernization projects
Big Lots,Retail,Columbus OH,27000,1300+ stores restructuring with relocations,IT Relocation + Field Services,SVP of Store Systems & Technology,Store remodels
Floor & Decor,Retail,Atlanta GA,7000,200+ warehouse stores rapidly expanding,Field Services,VP of IT Infrastructure,New store openings
Five Below,Retail,Philadelphia PA,20000,1500+ stores adding 150+ per year,Field Services,Chief Information Officer,New store rollouts
Crunch Fitness,Retail,New York NY,1500,460+ franchised locations growing rapidly,Field Services,VP of Franchise Technology,New franchise openings
Self-Storage Group,Retail,Various,4000,1000+ locations each acquisition-focused,Field Services + Relocation,VP of IT Operations,Property acquisitions
Credit Acceptance,Corporate,Southfield MI,5000,400+ branch locations across US,IT Relocation + Field Services,Chief Technology Officer,New branch openings
HomeServe USA,Corporate,Norwalk CT,1500,Call center + field operations distributed IT,IT Relocation + IT Staffing,VP of IT Infrastructure,New call center openings
Brightview Senior Living,Corporate,Baltimore MD,8000,50+ senior living communities 8 states,Field Services,CIO,New community openings
American Tire Distributors,Corporate,Huntersville NC,5000,140+ distribution centers warehouse tech,Field Services + Relocation,SVP of Technology,DC openings
UniFirst Corporation,Corporate,Wilmington MA,16000,270+ service locations across North America,IT Relocation + Field Services,VP of IT & Shared Services,New location openings
